employee_id,department,salary,years_experience,performance_rating,training_hours,remote_work_days,education_level,age,job_satisfaction
1,Sales,87339,3,3.7,21,3,Master,40,4.0
2,Finance,93107,2,3.6,12,4,Bachelor,25,4.3
3,Sales,86739,2,4.0,23,3,Master,28,4.8
4,Marketing,59205,6,3.6,16,2,Bachelor,29,2.7
5,HR,107509,4,3.5,14,4,Bachelor,34,4.3
6,Sales,101335,0,2.8,21,3,Master,43,3.7
7,HR,102749,0,4.1,15,4,Bachelor,22,4.1
8,Marketing,117513,2,4.7,23,0,Bachelor,22,3.9
9,Marketing,72859,1,4.0,20,0,Bachelor,32,3.3
10,Engineering,85702,0,3.3,13,2,Bachelor,29,4.8
11,Marketing,110160,1,2.6,20,3,Bachelor,30,3.1
12,Marketing,67153,0,4.2,24,0,Bachelor,44,3.4
13,Engineering,91585,1,3.0,19,2,Master,31,4.3
14,Engineering,58452,0,4.6,17,5,Bachelor,29,3.8
15,Marketing,132976,19,4.6,15,5,Master,22,5.0
16,HR,83100,0,3.6,14,3,Master,36,3.0
17,Finance,85426,2,4.3,22,4,Master,36,3.8
18,Engineering,94420,1,2.3,16,0,Bachelor,31,4.2
19,Engineering,84462,1,5.0,22,3,Bachelor,35,2.7
20,Finance,95368,0,4.9,15,2,Bachelor,22,2.2
21,Marketing,120435,0,5.0,26,1,Master,44,3.6
22,HR,113213,13,4.4,16,2,Bachelor,32,3.9
23,Sales,87915,4,4.7,23,4,Master,33,3.5
24,Finance,57337,1,3.8,27,2,High School,24,5.0
25,Sales,92184,3,4.7,17,2,Master,30,3.4
26,Finance,48206,1,4.2,27,4,Bachelor,39,3.3
27,Engineering,91513,1,4.8,19,3,Master,48,4.4
28,Engineering,84692,5,4.0,19,3,Bachelor,27,3.7
29,Marketing,63629,2,4.7,24,4,High School,23,3.8
30,HR,47317,2,4.0,19,3,Bachelor,38,4.2
31,Finance,115565,5,4.2,25,0,Bachelor,22,4.6
32,Finance,88333,5,4.0,22,5,High School,24,4.6
33,Finance,59432,0,3.4,18,3,PhD,34,3.9
34,Marketing,78463,1,3.6,19,5,Bachelor,37,3.6
35,HR,67419,6,4.6,20,2,Master,27,5.0
36,Sales,78130,2,3.9,16,3,Master,29,5.0
37,Marketing,84472,3,4.6,22,3,Master,27,3.5
38,Finance,109094,13,3.4,20,5,Master,28,3.3
39,Engineering,119830,0,3.7,14,1,Master,22,2.7
40,HR,84403,7,4.0,23,2,Master,37,4.0
41,Sales,104241,3,4.1,13,3,Bachelor,44,4.5
